,instance,m,n,repeat,population,generation,literature,cmax,time,gap,var_cmax,std_cmax,mean_cmax,var_time,std_time,mean_time,use_const_init_sol,mutation_size
0,2_10_01,2,10,0,7,10,354,354,"0,0306620597839355",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
1,2_10_01,2,10,1,7,10,354,354,"0,0310647487640381",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
2,2_10_01,2,10,2,7,10,354,354,"0,0312671661376953",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
3,2_10_01,2,10,3,7,10,354,354,"0,0293402671813965",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
4,2_10_01,2,10,4,7,10,354,354,"0,0275897979736328",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
5,2_10_01,2,10,5,7,10,354,354,"0,0311775207519531",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
6,2_10_01,2,10,6,7,10,354,354,"0,0319771766662598",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
7,2_10_01,2,10,7,7,10,354,354,"0,0310533046722412",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
8,2_10_01,2,10,8,7,10,354,354,"0,0288593769073486",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
9,2_10_01,2,10,9,7,10,354,354,"0,0303304195404053",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
10,2_10_01,2,10,10,7,10,354,354,"0,0288214683532715",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
11,2_10_01,2,10,11,7,10,354,354,"0,0296866893768311",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
12,2_10_01,2,10,12,7,10,354,354,"0,0317471027374268",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
13,2_10_01,2,10,13,7,10,354,354,"0,0306887626647949",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
14,2_10_01,2,10,14,7,10,354,354,"0,029184103012085",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
15,2_10_01,2,10,15,7,10,354,354,"0,0289428234100342",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
16,2_10_01,2,10,16,7,10,354,354,"0,0312809944152832",0,0,0,354,"1,65180735786521E-06","0,00128522657841534","0,0303857398033142",Muller,1
