,struct,instance,m,n,repeat,population,generation,literature,cmax,time,gap,var_cmax,std_cmax,mean_cmax,var_time,std_time,mean_time,use_const_init_sol,mutation_size
0,Y,2_10_01,2,10,0,7,10,354,372,"0,0242605209350586","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
1,Y,2_10_01,2,10,1,7,10,354,377,"0,0251979827880859","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
2,Y,2_10_01,2,10,2,7,10,354,377,"0,0265719890594482","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
3,Y,2_10_01,2,10,3,7,10,354,365,"0,0257344245910645","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
4,Y,2_10_01,2,10,4,7,10,354,372,"0,0259757041931152","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
5,Y,2_10_01,2,10,5,7,10,354,372,"0,0261597633361816","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
6,Y,2_10_01,2,10,6,7,10,354,372,"0,0238037109375","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
7,Y,2_10_01,2,10,7,7,10,354,354,"0,0250742435455322",0,"78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
8,Y,2_10_01,2,10,8,7,10,354,372,"0,0265941619873047","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
9,Y,2_10_01,2,10,9,7,10,354,386,"0,0261979103088379","0,0829015544041451","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
10,Y,2_10_01,2,10,10,7,10,354,372,"0,0239241123199463","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
11,Y,2_10_01,2,10,11,7,10,354,365,"0,0242793560028076","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
12,Y,2_10_01,2,10,12,7,10,354,387,"0,0271234512329102","0,0852713178294574","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
13,Y,2_10_01,2,10,13,7,10,354,377,"0,0253667831420898","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
14,Y,2_10_01,2,10,14,7,10,354,387,"0,0252678394317627","0,0852713178294574","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
15,Y,2_10_01,2,10,15,7,10,354,372,"0,025402307510376","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
