,struct,instance,m,n,repeat,population,generation,literature,cmax,time,gap,var_cmax,std_cmax,mean_cmax,var_time,std_time,mean_time,use_const_init_sol,mutation_size
16,Y,2_10_01,2,10,16,7,10,354,375,"0,0253407955169678","0,056","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
17,Y,2_10_01,2,10,17,7,10,354,379,"0,0243794918060303","0,0659630606860158","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
18,Y,2_10_01,2,10,18,7,10,354,372,"0,0228328704833984","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
19,Y,2_10_01,2,10,19,7,10,354,365,"0,0273663997650146","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
20,Y,2_10_01,2,10,20,7,10,354,377,"0,025266170501709","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
21,Y,2_10_01,2,10,21,7,10,354,384,"0,0243165493011475","0,078125","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
22,Y,2_10_01,2,10,22,7,10,354,384,"0,0253262519836426","0,078125","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
23,Y,2_10_01,2,10,23,7,10,354,372,"0,0249907970428467","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
24,Y,2_10_01,2,10,24,7,10,354,365,"0,0246899127960205","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
25,Y,2_10_01,2,10,25,7,10,354,372,"0,024843692779541","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
26,Y,2_10_01,2,10,26,7,10,354,365,"0,0281550884246826","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
27,Y,2_10_01,2,10,27,7,10,354,365,"0,0249800682067871","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
28,Y,2_10_01,2,10,28,7,10,354,372,"0,024308443069458","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
29,Y,2_10_01,2,10,29,7,10,354,354,"0,025806188583374",0,"78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
30,Y,2_10_01,2,10,30,7,10,354,365,"0,0255310535430908","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
31,Y,2_10_01,2,10,31,7,10,354,365,"0,0245497226715088","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
32,Y,2_10_01,2,10,32,7,10,354,365,"0,025007963180542","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
33,Y,2_10_01,2,10,33,7,10,354,365,"0,0263605117797852","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
34,Y,2_10_01,2,10,34,7,10,354,386,"0,0249025821685791","0,0829015544041451","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
35,Y,2_10_01,2,10,35,7,10,354,377,"0,0252950191497803","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
36,Y,2_10_01,2,10,36,7,10,354,372,"0,0252037048339844","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
37,Y,2_10_01,2,10,37,7,10,354,365,"0,0246684551239014","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
38,Y,2_10_01,2,10,38,7,10,354,365,"0,0251948833465576","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
39,Y,2_10_01,2,10,39,7,10,354,372,"0,0257601737976074","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
40,Y,2_10_01,2,10,40,7,10,354,365,"0,0250933170318604","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
41,Y,2_10_01,2,10,41,7,10,354,372,"0,0247931480407715","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
42,Y,2_10_01,2,10,42,7,10,354,365,"0,025825023651123","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
43,Y,2_10_01,2,10,43,7,10,354,386,"0,0250601768493652","0,0829015544041451","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
44,Y,2_10_01,2,10,44,7,10,354,354,"0,0228707790374756",0,"78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
45,Y,2_10_01,2,10,45,7,10,354,365,"0,0256047248840332","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
46,Y,2_10_01,2,10,46,7,10,354,365,"0,0245697498321533","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
47,Y,2_10_01,2,10,47,7,10,354,384,"0,0264542102813721","0,078125","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
48,Y,2_10_01,2,10,48,7,10,354,372,"0,0269207954406738","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
49,Y,2_10_01,2,10,49,7,10,354,372,"0,0240533351898193","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
50,Y,2_10_01,2,10,50,7,10,354,372,"0,0281400680541992","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
51,Y,2_10_01,2,10,51,7,10,354,354,"0,0239739418029785",0,"78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
52,Y,2_10_01,2,10,52,7,10,354,365,"0,0263032913208008","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
53,Y,2_10_01,2,10,53,7,10,354,385,"0,025846004486084","0,0805194805194805","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
54,Y,2_10_01,2,10,54,7,10,354,372,"0,0267329216003418","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
55,Y,2_10_01,2,10,55,7,10,354,365,"0,0251526832580566","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
56,Y,2_10_01,2,10,56,7,10,354,372,"0,0256524085998535","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
57,Y,2_10_01,2,10,57,7,10,354,373,"0,0251491069793701","0,0509383378016086","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
58,Y,2_10_01,2,10,58,7,10,354,372,"0,0258009433746338","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
59,Y,2_10_01,2,10,59,7,10,354,354,"0,0272798538208008",0,"78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
60,Y,2_10_01,2,10,60,7,10,354,365,"0,0232839584350586","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
61,Y,2_10_01,2,10,61,7,10,354,372,"0,0265257358551025","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
62,Y,2_10_01,2,10,62,7,10,354,365,"0,0253505706787109","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
63,Y,2_10_01,2,10,63,7,10,354,365,"0,0234849452972412","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
64,Y,2_10_01,2,10,64,7,10,354,372,"0,0283951759338379","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
65,Y,2_10_01,2,10,65,7,10,354,372,"0,0263969898223877","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
66,Y,2_10_01,2,10,66,7,10,354,365,"0,0256848335266113","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
67,Y,2_10_01,2,10,67,7,10,354,390,"0,0240907669067383","0,0923076923076923","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
68,Y,2_10_01,2,10,68,7,10,354,393,"0,0255429744720459","0,0992366412213741","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
69,Y,2_10_01,2,10,69,7,10,354,387,"0,0252189636230469","0,0852713178294574","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
70,Y,2_10_01,2,10,70,7,10,354,365,"0,0253005027770996","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
71,Y,2_10_01,2,10,71,7,10,354,387,"0,0250101089477539","0,0852713178294574","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
72,Y,2_10_01,2,10,72,7,10,354,372,"0,0249903202056885","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
73,Y,2_10_01,2,10,73,7,10,354,372,"0,0267109870910645","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
74,Y,2_10_01,2,10,74,7,10,354,372,"0,0255765914916992","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
75,Y,2_10_01,2,10,75,7,10,354,365,"0,0258474349975586","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
76,Y,2_10_01,2,10,76,7,10,354,377,"0,0275259017944336","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
77,Y,2_10_01,2,10,77,7,10,354,372,"0,0255646705627441","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
78,Y,2_10_01,2,10,78,7,10,354,372,"0,0244519710540771","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
79,Y,2_10_01,2,10,79,7,10,354,372,"0,0254671573638916","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
80,Y,2_10_01,2,10,80,7,10,354,388,"0,0247859954833984","0,0876288659793814","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
81,Y,2_10_01,2,10,81,7,10,354,387,"0,0243141651153564","0,0852713178294574","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
82,Y,2_10_01,2,10,82,7,10,354,372,"0,0248966217041016","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
83,Y,2_10_01,2,10,83,7,10,354,377,"0,0260846614837646","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
84,Y,2_10_01,2,10,84,7,10,354,372,"0,0246977806091309","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
85,Y,2_10_01,2,10,85,7,10,354,385,"0,0253078937530518","0,0805194805194805","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
86,Y,2_10_01,2,10,86,7,10,354,377,"0,0250513553619385","0,0610079575596817","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
87,Y,2_10_01,2,10,87,7,10,354,372,"0,025810718536377","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
88,Y,2_10_01,2,10,88,7,10,354,365,"0,0291023254394531","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
89,Y,2_10_01,2,10,89,7,10,354,365,"0,0251951217651367","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
90,Y,2_10_01,2,10,90,7,10,354,384,"0,0235316753387451","0,078125","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
91,Y,2_10_01,2,10,91,7,10,354,380,"0,024993896484375","0,068421052631579","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
92,Y,2_10_01,2,10,92,7,10,354,354,"0,0257687568664551",0,"78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
93,Y,2_10_01,2,10,93,7,10,354,372,"0,0270357131958008","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
94,Y,2_10_01,2,10,94,7,10,354,365,"0,02536940574646","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
95,Y,2_10_01,2,10,95,7,10,354,372,"0,0248208045959473","0,0483870967741936","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
96,Y,2_10_01,2,10,96,7,10,354,380,"0,0259883403778076","0,068421052631579","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
97,Y,2_10_01,2,10,97,7,10,354,386,"0,0236766338348389","0,0829015544041451","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
98,Y,2_10_01,2,10,98,7,10,354,354,"0,0266265869140625",0,"78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
99,Y,2_10_01,2,10,99,7,10,354,365,"0,027061939239502","0,0301369863013699","78,7075","8,87172474775903","372,05","1,29853763553456E-06","0,00113953395541096","0,0254382848739624",None,1
100,Y,2_10_02,2,10,0,7,10,472,472,"0,0266528129577637",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
101,Y,2_10_02,2,10,1,7,10,472,473,"0,024742603302002","0,00211416490486258","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
102,Y,2_10_02,2,10,2,7,10,472,484,"0,0256876945495605","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
103,Y,2_10_02,2,10,3,7,10,472,472,"0,0252330303192139",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
104,Y,2_10_02,2,10,4,7,10,472,472,"0,0257370471954346",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
105,Y,2_10_02,2,10,5,7,10,472,472,"0,0260577201843262",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
106,Y,2_10_02,2,10,6,7,10,472,472,"0,0269479751586914",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
107,Y,2_10_02,2,10,7,7,10,472,484,"0,0261013507843018","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
108,Y,2_10_02,2,10,8,7,10,472,484,"0,0264883041381836","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
109,Y,2_10_02,2,10,9,7,10,472,472,"0,0270650386810303",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
110,Y,2_10_02,2,10,10,7,10,472,484,"0,0280411243438721","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
111,Y,2_10_02,2,10,11,7,10,472,472,"0,0252394676208496",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
112,Y,2_10_02,2,10,12,7,10,472,473,"0,0256364345550537","0,00211416490486258","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
113,Y,2_10_02,2,10,13,7,10,472,484,"0,0235528945922852","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
114,Y,2_10_02,2,10,14,7,10,472,472,"0,0262660980224609",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
115,Y,2_10_02,2,10,15,7,10,472,484,"0,0256421566009521","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
116,Y,2_10_02,2,10,16,7,10,472,484,"0,0260374546051025","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
117,Y,2_10_02,2,10,17,7,10,472,472,"0,0256674289703369",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
118,Y,2_10_02,2,10,18,7,10,472,472,"0,02655029296875",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
119,Y,2_10_02,2,10,19,7,10,472,472,"0,0255613327026367",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
120,Y,2_10_02,2,10,20,7,10,472,484,"0,0261180400848389","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
121,Y,2_10_02,2,10,21,7,10,472,472,"0,02469801902771",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
122,Y,2_10_02,2,10,22,7,10,472,472,"0,026350736618042",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
123,Y,2_10_02,2,10,23,7,10,472,472,"0,0260720252990723",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
124,Y,2_10_02,2,10,24,7,10,472,472,"0,0277204513549805",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
125,Y,2_10_02,2,10,25,7,10,472,472,"0,0253338813781738",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
126,Y,2_10_02,2,10,26,7,10,472,472,"0,0261361598968506",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
127,Y,2_10_02,2,10,27,7,10,472,473,"0,0264909267425537","0,00211416490486258","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
128,Y,2_10_02,2,10,28,7,10,472,472,"0,0264976024627686",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
129,Y,2_10_02,2,10,29,7,10,472,472,"0,0256032943725586",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
130,Y,2_10_02,2,10,30,7,10,472,472,"0,0265629291534424",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
131,Y,2_10_02,2,10,31,7,10,472,484,"0,022658109664917","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
132,Y,2_10_02,2,10,32,7,10,472,472,"0,026869535446167",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
133,Y,2_10_02,2,10,33,7,10,472,493,"0,0271008014678955","0,0425963488843813","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
134,Y,2_10_02,2,10,34,7,10,472,472,"0,0269241333007812",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
135,Y,2_10_02,2,10,35,7,10,472,472,"0,0244543552398682",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
136,Y,2_10_02,2,10,36,7,10,472,491,"0,0244462490081787","0,0386965376782077","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
137,Y,2_10_02,2,10,37,7,10,472,484,"0,0272657871246338","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
138,Y,2_10_02,2,10,38,7,10,472,484,"0,0242307186126709","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
139,Y,2_10_02,2,10,39,7,10,472,484,"0,0256807804107666","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
140,Y,2_10_02,2,10,40,7,10,472,472,"0,0263752937316895",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
141,Y,2_10_02,2,10,41,7,10,472,472,"0,0260491371154785",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
142,Y,2_10_02,2,10,42,7,10,472,472,"0,026625394821167",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
143,Y,2_10_02,2,10,43,7,10,472,484,"0,0240530967712402","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
144,Y,2_10_02,2,10,44,7,10,472,473,"0,0256590843200684","0,00211416490486258","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
145,Y,2_10_02,2,10,45,7,10,472,472,"0,0258336067199707",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
146,Y,2_10_02,2,10,46,7,10,472,472,"0,0268921852111816",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
147,Y,2_10_02,2,10,47,7,10,472,472,"0,0293958187103271",0,"48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
148,Y,2_10_02,2,10,48,7,10,472,484,"0,0266571044921875","0,0247933884297521","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
149,Y,2_10_02,2,10,49,7,10,472,487,"0,0248148441314697","0,0308008213552361","48,1419","6,93843642328731","478,09","1,45392890019025E-06","0,00120578974128587","0,0260093092918396",None,1
