,struct,instance,m,n,repeat,population,generation,literature,cmax,time,gap,var_cmax,std_cmax,mean_cmax,var_time,std_time,mean_time,use_const_init_sol,mutation_size
0,Y,2_10_01,2,10,0,7,10,354,377,"0,024630069732666","0,0610079575596817","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
1,Y,2_10_01,2,10,1,7,10,354,365,"0,0244884490966797","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
2,Y,2_10_01,2,10,2,7,10,354,373,"0,0231316089630127","0,0509383378016086","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
3,Y,2_10_01,2,10,3,7,10,354,384,"0,0246317386627197","0,078125","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
4,Y,2_10_01,2,10,4,7,10,354,365,"0,0251274108886719","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
5,Y,2_10_01,2,10,5,7,10,354,354,"0,0228207111358643",0,"73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
6,Y,2_10_01,2,10,6,7,10,354,380,"0,0243144035339355","0,068421052631579","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
7,Y,2_10_01,2,10,7,7,10,354,365,"0,0239481925964355","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
8,Y,2_10_01,2,10,8,7,10,354,372,"0,0230350494384766","0,0483870967741936","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
9,Y,2_10_01,2,10,9,7,10,354,372,"0,0233726501464844","0,0483870967741936","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
10,Y,2_10_01,2,10,10,7,10,354,365,"0,02455735206604","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
11,Y,2_10_01,2,10,11,7,10,354,365,"0,0260016918182373","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
12,Y,2_10_01,2,10,12,7,10,354,365,"0,0218305587768555","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
13,Y,2_10_01,2,10,13,7,10,354,372,"0,0243840217590332","0,0483870967741936","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
14,Y,2_10_01,2,10,14,7,10,354,372,"0,0254988670349121","0,0483870967741936","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
15,Y,2_10_01,2,10,15,7,10,354,384,"0,0241725444793701","0,078125","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
16,Y,2_10_01,2,10,16,7,10,354,365,"0,024010181427002","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
17,Y,2_10_01,2,10,17,7,10,354,365,"0,0259890556335449","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
18,Y,2_10_01,2,10,18,7,10,354,372,"0,0244705677032471","0,0483870967741936","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
19,Y,2_10_01,2,10,19,7,10,354,365,"0,0237083435058594","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
20,Y,2_10_01,2,10,20,7,10,354,377,"0,0235958099365234","0,0610079575596817","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
21,Y,2_10_01,2,10,21,7,10,354,365,"0,023066520690918","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
22,Y,2_10_01,2,10,22,7,10,354,388,"0,0203502178192139","0,0876288659793814","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
23,Y,2_10_01,2,10,23,7,10,354,365,"0,0244832038879395","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
24,Y,2_10_01,2,10,24,7,10,354,365,"0,0225286483764648","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
25,Y,2_10_01,2,10,25,7,10,354,384,"0,025076150894165","0,078125","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
26,Y,2_10_01,2,10,26,7,10,354,386,"0,020949125289917","0,0829015544041451","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
27,Y,2_10_01,2,10,27,7,10,354,365,"0,0241689682006836","0,0301369863013699","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
28,Y,2_10_01,2,10,28,7,10,354,387,"0,0232803821563721","0,0852713178294574","73,7084","8,58535963137247","371,54","1,31042213629371E-06","0,00114473671046827","0,0239241027832031",Greedy,1
